address,sink,flavor,enclosing_fn,ef_file,ef_line,inner_file,inner_line,outer_file,outer_line,bucket,status,final_file,final_line,method,confidence,reason
0xd02c,unwrap_failed,unwrap_result,<capsules_extra::net::udp::driver::UDPDriver as kernel::syscall_driver::SyscallDriver>::command,./capsules/extra/src/net/udp/driver.rs,543,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/result.rs,1109,./capsules/extra/src/net/udp/driver.rs,543,annotatable,outstanding,capsules/extra/src/net/udp/driver.rs,543,no FLUX-* marker found in file within reasonable window,high,needs new marker
0x1d8a6,unwrap_failed,unwrap_option,<capsules_extra::net::udp::udp_send::UDPSendStruct<capsules_extra::net::ipv6::ipv6_send::IP6SendStruct<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>> as capsules_extra::net::udp::udp_send::UDPSender>::send,./capsules/extra/src/net/udp/udp_send.rs,333,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/net/udp/udp_send.rs,333,annotatable,marked,capsules/extra/src/net/udp/udp_send.rs,333,branch FLUX-* marker within ±6 lines of effective_frame,high,
0xa49a,panic_bounds_check,bounds,capsules_extra::net::util::matches_prefix,./capsules/extra/src/net/util.rs,48,./capsules/extra/src/net/util.rs,48,./capsules/extra/src/net/util.rs,48,annotatable,marked,capsules/extra/src/net/util.rs,48,"branch FLUX-* marker at line 72 (Δ=+24, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0xa4a2,panic_bounds_check,bounds,capsules_extra::net::util::matches_prefix,./capsules/extra/src/net/util.rs,48,./capsules/extra/src/net/util.rs,48,./capsules/extra/src/net/util.rs,48,annotatable,marked,capsules/extra/src/net/util.rs,48,"branch FLUX-* marker at line 72 (Δ=+24, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0xa3a6,panic_fmt,explicit_panic,capsules_extra::sip_hash::u8to64_le,./capsules/extra/src/sip_hash.rs,159,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/mod.rs,1918,./capsules/extra/src/sip_hash.rs,173,annotatable,marked,capsules/extra/src/sip_hash.rs,159,branch FLUX-* marker within ±6 lines of effective_frame,high,
0xa3ae,panic_bounds_check,bounds,capsules_extra::sip_hash::u8to64_le,./capsules/extra/src/sip_hash.rs,177,./capsules/extra/src/sip_hash.rs,177,./capsules/extra/src/sip_hash.rs,177,annotatable,marked,capsules/extra/src/sip_hash.rs,177,"branch FLUX-* marker at line 186 (Δ=+9, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x162ea,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TickFSFlashCtrl<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>> as tickv::flash_controller::FlashController<4096>>::read_region",./capsules/extra/src/mx25r6435f.rs,317,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,246,annotatable,marked,capsules/extra/src/mx25r6435f.rs,317,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x162f2,panic_bounds_check,bounds,"<capsules_extra::tickv::TickFSFlashCtrl<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>> as tickv::flash_controller::FlashController<4096>>::read_region",./capsules/extra/src/mx25r6435f.rs,301,./capsules/extra/src/mx25r6435f.rs,301,./capsules/extra/src/tickv.rs,246,annotatable,marked,capsules/extra/src/mx25r6435f.rs,301,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x162e4,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TickFSFlashCtrl<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>> as tickv::flash_controller::FlashController<4096>>::read_region",./capsules/extra/src/tickv.rs,250,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,250,annotatable,marked,capsules/extra/src/tickv.rs,250,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x1637e,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TickFSFlashCtrl<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>> as tickv::flash_controller::FlashController<4096>>::write",./capsules/extra/src/tickv.rs,261,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,261,annotatable,marked,capsules/extra/src/tickv.rs,261,branch FLUX-* marker within ±6 lines of effective_frame,high,
